"podmiot","zadanie","pkd","uwagi","kwota"
"Jayo","zrobienie tamtego","32","eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus","27690",
"Babblestorm","urodzenie dziecka","4","id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius","69018",
"Yodo","urodzenie dziecka","92","enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus","20832",
"Ainyx","urodzenie dziecka","68","posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi","86093",
"Cogibox","zrobienie tego","57","purus aliquet at feugiat non pretium quis lectus suspendisse potenti in","94899",
"Eayo","zrobienie tego","62","tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est","58085",
"Bubbletube","Wybudowanie drogi","99","eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien","90786",
"Abatz","Wybudowanie drogi","29","primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus","67565",
"Kaymbo","zrobienie tamtego","23","erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit","95537",
"Camido","zrobienie tego","35","justo nec condimentum neque sapien placerat ante nulla justo aliquam quis","44556",
"Plajo","zrobienie tego","86","cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod","32242",
"Agimba","urodzenie dziecka","45","justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie","55367",
"Jayo","urodzenie dziecka","33","venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate","6224",
"Tagopia","Wybudowanie drogi","15","sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed","89021",
"Layo","Wybudowanie drogi","85","montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean","45460",
"Demizz","urodzenie dziecka","40","tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus","99399",
"Voomm","Wybudowanie drogi","19","tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam","5149",
"Edgeify","zrobienie tamtego","54","lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam","20432",
"Leenti","Wybudowanie drogi","71","mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede","50961",
"Midel","Wybudowanie drogi","70","lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed","45409",
"Kanoodle","urodzenie dziecka","65","primis in faucibus orci luctus et ultrices posuere cubilia curae","75450",
"Topicblab","Wybudowanie drogi","78","ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem","51098",
"Jaxworks","Wybudowanie drogi","97","semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac","38451",
"Aimbo","zrobienie tego","63","cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et","1384",
"Layo","zrobienie tego","29","magna at nunc commodo placerat praesent blandit nam nulla integer pede","77239",
"Devify","Wybudowanie drogi","61","arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac","96012",
"Oyoloo","urodzenie dziecka","71","erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia","53587",
"Skynoodle","zrobienie tamtego","74","ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet","8377",
